"","plant_code","mass_g","site","treatment","greenhouse","leaves_total","leaves_herbivory","proportion_herbivory","month","n.obs","X","lat","lon","ele_m","garden_area_m2","num_of_gardenplots","percent_dev_2km","percent_dev_200m","percent_dev_1km","percent_dev_500m","crop_pasture_2km","crop_pasture_200m","crop_pasture_500m","area_km2","country_code","Population.to.polygon.size.rating.for.the.country","Apportionment.confidence.for.the.country","Has.data","pop_den_2022","pop_tot_2022","med_networth_2022","med_houseincome_2022","med_dispincome_2022","tot_households_2022","wealth_index_2022","diversity_index_2022","tot_housingunits_2022","homeowners_growthRate_22_27","renter_hh_2020","tot_businesses_2022","poverty_index_2020","crime_index_2022","renter_occ_Hus_2022","med_age_2022","med_homevalue_2022","mean_homevalue_2022","pop_BA_2022","pop_gradDegree_2022","imp200m","imp500m","imp1km","imp1.5km","imp2km","n.obs.herb","n.obs.pred","n.obs.pol","bee.rare.richness","bee.shannon","bee.simpson","scaled_wealth_index_2022","pepper.obs"
"16","Foo-007",9.827,"Foothills","covered","backroom",149,11,0.07382550336,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,2
"17","Foo-007",9.827,"Foothills","covered","backroom",149,11,0.07382550336,"July",187,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,27,10,79,12,5.36083976017927,3.91327913279133,-0.161871273035703,2
"18","Foo-007",9.827,"Foothills","covered","backroom",149,11,0.07382550336,"June",375,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,28,30,10,6,5.74234749205346,5.44444444444444,-0.161871273035703,2
"19","Foo-008",14.3302857142857,"Foothills","covered","backroom",78,12,0.1538461538,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,7
"20","Foo-008",14.3302857142857,"Foothills","covered","backroom",78,12,0.1538461538,"July",187,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,27,10,79,12,5.36083976017927,3.91327913279133,-0.161871273035703,7
"21","Foo-008",14.3302857142857,"Foothills","covered","backroom",78,12,0.1538461538,"June",375,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,28,30,10,6,5.74234749205346,5.44444444444444,-0.161871273035703,7
"22","Foo-009",14.7432,"Foothills","covered","midroom",66,5,0.07575757576,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,10
"23","Foo-009",14.7432,"Foothills","covered","midroom",66,5,0.07575757576,"July",187,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,27,10,79,12,5.36083976017927,3.91327913279133,-0.161871273035703,10
"24","Foo-009",14.7432,"Foothills","covered","midroom",66,5,0.07575757576,"June",375,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,28,30,10,6,5.74234749205346,5.44444444444444,-0.161871273035703,10
"25","Foo-010",12.9272,"Foothills","covered","backroom",99,9,0.09090909091,"August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703,5
"26","Foo-010",12.9272,"Foothills","covered","backroom",99,9,0.09090909091,"July",187,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,27,10,79,12,5.36083976017927,3.91327913279133,-0.161871273035703,5
"27","Foo-010",12.9272,"Foothills","covered","backroom",99,9,0.09090909091,"June",375,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,28,30,10,6,5.74234749205346,5.44444444444444,-0.161871273035703,5
"28","For-010 ",20.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"29","For-011",16.6431666666667,"Fortune","uncovered","midroom",81,4,0.04938271605,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,6
"30","For-011",16.6431666666667,"Fortune","uncovered","midroom",81,4,0.04938271605,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,6
"31","For-011",16.6431666666667,"Fortune","uncovered","midroom",81,4,0.04938271605,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,6
"32","For-012",15.8931666666667,"Fortune","uncovered","backroom",122,12,0.09836065574,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,6
"33","For-012",15.8931666666667,"Fortune","uncovered","backroom",122,12,0.09836065574,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,6
"34","For-012",15.8931666666667,"Fortune","uncovered","backroom",122,12,0.09836065574,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,6
"35","For-013",19.75875,"Fortune","uncovered","midroom",54,3,0.05555555556,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,4
"36","For-013",19.75875,"Fortune","uncovered","midroom",54,3,0.05555555556,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,4
"37","For-013",19.75875,"Fortune","uncovered","midroom",54,3,0.05555555556,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,4
"38","For-014",15.11525,"Fortune","uncovered","midroom",111,10,0.09009009009,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,4
"39","For-014",15.11525,"Fortune","uncovered","midroom",111,10,0.09009009009,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,4
"40","For-014",15.11525,"Fortune","uncovered","midroom",111,10,0.09009009009,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,4
"41","For-015",16.741,"Fortune","uncovered","midroom",137,14,0.102189781,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,3
"42","For-015",16.741,"Fortune","uncovered","midroom",137,14,0.102189781,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,3
"43","For-015",16.741,"Fortune","uncovered","midroom",137,14,0.102189781,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,3
"44","For-016",19.698,"Fortune","covered","midroom",102,7,0.06862745098,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,1
"45","For-016",19.698,"Fortune","covered","midroom",102,7,0.06862745098,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,1
"46","For-016",19.698,"Fortune","covered","midroom",102,7,0.06862745098,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,1
"47","For-017",26.8465,"Fortune","covered","midroom",72,9,0.125,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,2
"48","For-017",26.8465,"Fortune","covered","midroom",72,9,0.125,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,2
"49","For-017",26.8465,"Fortune","covered","midroom",72,9,0.125,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,2
"50","For-018",16.43,"Fortune","covered","midroom",124,9,0.07258064516,"August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469,1
"51","For-018",16.43,"Fortune","covered","midroom",124,9,0.07258064516,"July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469,1
"52","For-018",16.43,"Fortune","covered","midroom",124,9,0.07258064516,"June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469,1
