"","site","month","n.obs","X","lat","lon","ele_m","garden_area_m2","num_of_gardenplots","percent_dev_2km","percent_dev_200m","percent_dev_1km","percent_dev_500m","crop_pasture_2km","crop_pasture_200m","crop_pasture_500m","area_km2","country_code","Population.to.polygon.size.rating.for.the.country","Apportionment.confidence.for.the.country","Has.data","pop_den_2022","pop_tot_2022","med_networth_2022","med_houseincome_2022","med_dispincome_2022","tot_households_2022","wealth_index_2022","diversity_index_2022","tot_housingunits_2022","homeowners_growthRate_22_27","renter_hh_2020","tot_businesses_2022","poverty_index_2020","crime_index_2022","renter_occ_Hus_2022","med_age_2022","med_homevalue_2022","mean_homevalue_2022","pop_BA_2022","pop_gradDegree_2022","imp200m","imp500m","imp1km","imp1.5km","imp2km","n.obs.herb","n.obs.pred","n.obs.pol","bee.rare.richness","bee.shannon","bee.simpson","scaled_wealth_index_2022"
"12","Hickory","June",258,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,49,24,9,5,5,5,-0.899703122221697
"13","Hope","August",59,5,39.9746738,-105.24082,1671,657.99,23,13.17803,41.53944,13.26397,21.6578,7.66331051,0,1.9480565,3.01559595,"US",2.191,2.576,1,2818.8,3282,247466,104600,84623,1407,159,40.9,1445,-0.1,485,80,43.95,115,591,37.6,721324,790510,944,1121,36.4175824175824,26.4001782531194,19.0567616463139,20.1508,17.8735832117607,6,7,40,7,4.05063546936785,3.1609756097561,-0.267275822919416
"14","Hope","July",151,5,39.9746738,-105.24082,1671,657.99,23,13.17803,41.53944,13.26397,21.6578,7.66331051,0,1.9480565,3.01559595,"US",2.191,2.576,1,2818.8,3282,247466,104600,84623,1407,159,40.9,1445,-0.1,485,80,43.95,115,591,37.6,721324,790510,944,1121,36.4175824175824,26.4001782531194,19.0567616463139,20.1508,17.8735832117607,11,11,95,10,5.3098293561125,4.23348017621145,-0.267275822919416
"15","Hope","June",117,5,39.9746738,-105.24082,1671,657.99,23,13.17803,41.53944,13.26397,21.6578,7.66331051,0,1.9480565,3.01559595,"US",2.191,2.576,1,2818.8,3282,247466,104600,84623,1407,159,40.9,1445,-0.1,485,80,43.95,115,591,37.6,721324,790510,944,1121,36.4175824175824,26.4001782531194,19.0567616463139,20.1508,17.8735832117607,26,7,6,6,6,6,-0.267275822919416
"16","Kerr","August",222,6,39.9838942,-105.12588,1622,2324.05,41,32.48671,10.026761,40.90919,42.74265,15.8924168,65.17395,44.5761165,3.01559595,"US",2.191,2.576,1,3479.3,4051,291539,104792,85338,2005,162,40.3,2089,0.47,829,337,51.66,68,669,45,645292,681862,1197,890,10.7912087912088,30.795008912656,32.3885119855269,29.0936,28.6104253170239,3,3,104,11,4.67008938380063,3.16970421272782,-0.188222410506631
"17","Kerr","July",398,6,39.9838942,-105.12588,1622,2324.05,41,32.48671,10.026761,40.90919,42.74265,15.8924168,65.17395,44.5761165,3.01559595,"US",2.191,2.576,1,3479.3,4051,291539,104792,85338,2005,162,40.3,2089,0.47,829,337,51.66,68,669,45,645292,681862,1197,890,10.7912087912088,30.795008912656,32.3885119855269,29.0936,28.6104253170239,6,2,359,17,4.62610373636377,3.39223708648489,-0.188222410506631
"18","Kerr","June",52,6,39.9838942,-105.12588,1622,2324.05,41,32.48671,10.026761,40.90919,42.74265,15.8924168,65.17395,44.5761165,3.01559595,"US",2.191,2.576,1,3479.3,4051,291539,104792,85338,2005,162,40.3,2089,0.47,829,337,51.66,68,669,45,645292,681862,1197,890,10.7912087912088,30.795008912656,32.3885119855269,29.0936,28.6104253170239,10,2,5,5,5,5,-0.188222410506631
"19","Living Harvest","August",121,7,40.0503025,-105.26092,1642,1055.85,30,25.01677,20.76972,20.54054,15.12609,4.44758488,0,0.2291831,3.01559595,"US",2.191,2.576,1,3558.3,4143,537270,127997,102320,1522,209,53.9,1580,-0.18,327,89,54.55,33,388,40,827932,836783,1126,1049,33.2899408284024,23.1276400367309,23.8531967030519,23.8054,24.8280852507208,11,6,39,5,2.95287717756606,2.15918367346939,1.050281050627
"20","Living Harvest","July",153,7,40.0503025,-105.26092,1642,1055.85,30,25.01677,20.76972,20.54054,15.12609,4.44758488,0,0.2291831,3.01559595,"US",2.191,2.576,1,3558.3,4143,537270,127997,102320,1522,209,53.9,1580,-0.18,327,89,54.55,33,388,40,827932,836783,1126,1049,33.2899408284024,23.1276400367309,23.8531967030519,23.8054,24.8280852507208,9,89,40,11,6.34052799712913,4.40192926045016,1.050281050627
"21","Living Harvest","June",187,7,40.0503025,-105.26092,1642,1055.85,30,25.01677,20.76972,20.54054,15.12609,4.44758488,0,0.2291831,3.01559595,"US",2.191,2.576,1,3558.3,4143,537270,127997,102320,1522,209,53.9,1580,-0.18,327,89,54.55,33,388,40,827932,836783,1126,1049,33.2899408284024,23.1276400367309,23.8531967030519,23.8054,24.8280852507208,62,21,4,2,2,2,1.050281050627
